DEFECTID,CLASSNUMBER,a_6_FINEBINNUMBER,g_6_SIZE_DW1O,g_6_SIZE_DW2O,i_6_SIZE_DNO,i_6_SIZE_DW1O,i_6_SIZE_DW2O,j_6_SIZE_DNO,j_6_SIZE_DW1O,j_6_SIZE_DW2O,k_6_SIZE_DW1O,k_6_SIZE_DW2O,ClassNum,Flag_ReviewSample,RoughBin,Confidence,RBBLabel
116339,10,0,0.0982,0,0.2922,0.1592,0.2308,0.17,0.2237,0.2957,0.2877,0.1729,10,1,2,0,2
117140,10,0,0,0,0.2199,0,0.1724,0,0.1108,0.2061,0.1733,0,10,1,2,0,2
117292,10,0,0.0922,0,0.2208,0.0959,0.1993,0,0.1366,0.2254,0.1745,0.1587,10,1,2,0,2
117592,10,0,0,0,0.1764,0,0.1609,0,0.1239,0.2013,0.178,0,10,1,2,0,2
118163,10,0,0,0,0,0,0.1587,0.1421,0.1025,0.1767,0.1525,0,10,1,2,0,2
118739,10,0,0.105,0,0.3096,0.1268,0.289,0.1595,0.2136,0.352,0.2832,0.1819,10,1,2,0,2
118804,75,0,0.0854,0.1898,0,0.1449,0.203,0.2318,0.227,0.3191,0.2887,0.1318,75,1,1,0,1
119256,10,0,0.0838,0,0.2204,0,0.2073,0,0.1192,0.2387,0.183,0.1448,10,1,2,0,2
119463,10,0,0.0861,0,0.2609,0.107,0.2002,0,0.162,0.227,0.1915,0.1531,10,1,2,0,2
119673,75,0,0.0933,0,0.9121,0.1412,0.193,0,0.1999,0.3645,0.2422,0,75,1,1,0,1
121116,10,0,0.1567,0,0.5079,0.1739,0.3882,0,0.2089,0.4018,0.46,0.2175,10,1,2,0,2
122688,75,0,0.0868,0.1666,0,0.1563,0.2088,0.2596,0.6377,0.7795,1.2132,0,75,1,1,0,1
122861,10,0,0.1064,0,1.0593,0.1749,0.5354,0.2293,0.2374,0.7439,0.4864,0.3279,10,1,2,0,2
124434,10,0,0,0,0,0,0.1574,0,0.1012,0.1717,0.1466,0,10,1,2,0,2
124651,10,0,0.1091,0,0.4847,0.1237,0.2408,0,0.1839,0.2921,0.2735,0.1671,10,1,2,0,2
124837,3,20,0.1452,0.1772,0.5674,0.2143,0.2768,0,0.2478,0.3455,0.3854,0.1526,3,1,3,0,3
125833,10,20,0,0,0.1802,0.103,0.1832,0.1548,0.16,0.2172,0.2048,0.1496,10,1,2,0,2
126040,10,0,0.0943,0,0.2927,0.1143,0.2477,0,0.1624,0.278,0.2256,0.198,10,1,2,0,2
126146,75,0,0,0,0,0,0.1335,0,0.7123,0.3741,1.6739,0,75,1,1,0,1
126549,3,90,0.0982,0,0.2549,0.1141,0.2003,0.1854,0.1351,0.2548,0.2127,0,3,1,3,0,2
127650,3,0,0.1018,0,0.8938,0.1724,0.2782,0.2173,0.2125,0.4239,0.4621,0.1705,3,1,3,0,3
129103,75,90,0.143,0.1645,200000,200000,0.3131,0.2856,0.6819,1.2309,0.7549,0.2104,75,1,1,0,1
129140,10,0,0.172,0,0.2901,0.1813,0.6942,0.2283,0.2121,0.8253,0.2673,0.2961,10,1,2,0,2
130678,10,0,0,0,0.2104,0,0.1523,0,0.1189,0.1797,0.1646,0,10,1,2,0,2
131064,3,1,0.1483,0.1619,1.3166,0.207,0.4918,0.2439,0.3323,0.6466,0.6506,0.191,3,1,3,0,3
132229,3,20,0.1598,0.1472,1.2646,0.1478,0.3589,0.1447,0.2665,0.6774,0.5875,0.2104,3,1,3,0,3
133741,10,20,0.0819,0,0.1997,0.0921,0.1657,0,0.1202,0.192,0.1631,0,10,1,2,0,2
134598,3,90,0.0881,0,0.4732,0.1239,0.1929,0,0.1904,0.257,0.2473,0,3,1,3,0,1
134947,10,0,0.1023,0,0.8695,0.1338,0.3538,0.1739,0.2176,0.4492,0.4208,0.2021,10,1,2,0,2
134976,2,90,0,0,0.2853,0.1002,0.1697,0,0.1463,0.2075,0.1923,0,2,1,1,0,2
135686,10,20,0.122,0,0.408,0.1267,0.2793,0.2037,0.1966,0.3358,0.2671,0.2313,10,1,2,0,2
136343,10,20,0.1026,0,0.5497,0.1533,0.3055,0.1308,0.202,0.4062,0.2582,0.2082,10,1,2,0,2
137192,2,20,0,0,0.3466,0.0999,0.1657,0,0.1661,0.2267,0.212,0,2,1,1,0,1
137681,2,0,0.0843,0,0.8551,0.0993,0.1716,0,0.2211,0.2921,0.2634,0,2,1,1,0,1
138480,10,0,0.1121,0,0.4481,0.1742,0.4111,0.1845,0.2121,0.4651,0.3458,0.2492,10,1,2,0,2
138501,10,20,0.0891,0.1414,0.476,0.1461,0.2063,0,0.1918,0.2577,0.2586,0,10,1,2,0,2
140149,3,20,0.1315,0,1.9963,0.152,0.2653,0.2442,0.4254,0.5556,0.6564,0.1839,3,1,3,0,1
140348,10,0,0.1049,0,0.4524,0.1565,0.2512,0,0.1943,0.2864,0.2874,0.1999,10,1,2,0,2
140922,10,0,0.0915,0,0.2874,0.1221,0.2229,0,0.1558,0.2486,0.2128,0.1466,10,1,2,0,2
141628,75,90,0.1701,0.1562,1.2791,0.3417,0.2802,0.2213,0.3293,0.3833,0.5111,0.1659,75,1,1,0,1
142818,10,0,0.0956,0,1.0397,0.1244,0.3801,0.2204,0.2205,0.5666,0.6787,0.251,10,1,2,0,2
143322,10,0,0.0838,0,0.1833,0.0904,0.168,0,0.109,0.1924,0.1567,0,10,1,2,0,2
143448,10,0,0.0986,0,0.2555,0.109,0.231,0,0.1501,0.2466,0.199,0.1925,10,1,2,0,2
143723,75,90,0.1306,0.1803,0.8437,0.2025,0.3163,0.2277,0.2941,0.3822,0.5544,0,75,1,1,0,3
